Brand,Model,YOM,Engine (cc),Gear,Fuel Type,Millage(KM),Condition,Price
DAIHATSU,Other,2004,1000.0,1,Petrol,231000.0,1.0,41.75
DAIHATSU,Other,1986,1200.0,0,Diesel,429000.0,1.0,7.5
DAIHATSU,Other,1991,1000.0,0,Petrol,374000.0,1.0,12.0
DAIHATSU,Other,1987,990.0,0,Petrol,418000.0,1.0,14.0
DAIHATSU,Other,1989,1000.0,0,Diesel,396000.0,1.0,11.8
DAIHATSU,Other,1987,1000.0,0,Petrol,418000.0,1.0,11.5
DAIHATSU,Other,1989,1000.0,0,Petrol,396000.0,1.0,7.8
DAIHATSU,Other,1989,990.0,0,Diesel,396000.0,1.0,11.8
DAIHATSU,Other,1989,1000.0,0,Diesel,396000.0,1.0,8.75
DAIHATSU,Other,2006,1500.0,1,Petrol,209000.0,1.0,19.53125
DAIHATSU,Other,1986,1000.0,0,Diesel,429000.0,1.0,9.0
DAIHATSU,Other,1989,1113.0,0,Diesel,396000.0,1.0,12.9
DAIHATSU,Other,1996,1500.0,1,Petrol,319000.0,1.0,19.53125
DAIHATSU,Other,1991,990.0,0,Petrol,374000.0,1.0,12.5
DAIHATSU,Other,1987,1000.0,0,Petrol,418000.0,1.0,14.5
DAIHATSU,Other,1987,990.0,0,Petrol,418000.0,1.0,9.95
DAIHATSU,Other,1989,1000.0,0,Diesel,396000.0,1.0,8.0
DAIHATSU,Other,1989,1000.0,0,Diesel,396000.0,1.0,8.0
DAIHATSU,Other,1985,1000.0,0,Petrol,440000.0,1.0,7.5
DAIHATSU,Other,1985,1290.0,0,Petrol,440000.0,1.0,16.5
DAIHATSU,Other,2015,650.0,1,Petrol,110000.0,1.0,58.0
DAIHATSU,Other,2015,660.0,1,Petrol,110000.0,1.0,67.0
DAIHATSU,Other,1997,850.0,0,Petrol,308000.0,1.0,19.9
DAIHATSU,Other,1994,825.0,0,Petrol,341000.0,1.0,16.75
DAIHATSU,Other,1991,800.0,0,Petrol,374000.0,1.0,12.5
DAIHATSU,Other,1997,825.0,0,Petrol,308000.0,1.0,18.25
DAIHATSU,Other,1997,850.0,0,Petrol,308000.0,1.0,18.5
DAIHATSU,Other,1982,1300.0,0,Diesel,473000.0,1.0,9.5
DAIHATSU,Other,1994,990.0,0,Diesel,341000.0,1.0,12.5
DAIHATSU,Other,2009,650.0,1,Petrol,176000.0,1.0,49.75
DAIHATSU,MIRA,1997,847.0,0,Petrol,308000.0,1.0,40.6875
DAIHATSU,MIRA,2015,650.0,1,Petrol,110000.0,1.0,51.0
DAIHATSU,MIRA,2015,650.0,1,Petrol,110000.0,1.0,50.75
DAIHATSU,MIRA,2017,650.0,1,Petrol,88000.0,1.0,59.6
DAIHATSU,MIRA,2017,650.0,1,Petrol,88000.0,1.0,59.9
DAIHATSU,MIRA,1997,890.0,0,Petrol,308000.0,1.0,40.6875
DAIHATSU,MIRA,2024,650.0,1,Petrol,11000.0,1.0,59.5
DAIHATSU,MIRA,2002,1000.0,1,Petrol,253000.0,1.0,40.6875
DAIHATSU,MIRA,2016,650.0,1,Petrol,99000.0,1.0,54.375
DAIHATSU,MIRA,2015,650.0,1,Petrol,110000.0,1.0,51.0
DAIHATSU,MIRA,2019,650.0,1,Petrol,66000.0,1.0,59.9
DAIHATSU,MIRA,2017,650.0,1,Petrol,88000.0,1.0,59.6
DAIHATSU,MIRA,2016,650.0,1,Petrol,99000.0,1.0,53.0
DAIHATSU,MIRA,2015,650.0,1,Petrol,110000.0,1.0,52.5
DAIHATSU,MIRA,2015,650.0,1,Petrol,110000.0,1.0,52.0
DAIHATSU,MIRA,1996,650.0,0,Petrol,319000.0,1.0,40.6875
DAIHATSU,MIRA,2016,660.0,1,Petrol,99000.0,1.0,54.375
DAIHATSU,MIRA,2017,660.0,1,Petrol,88000.0,1.0,56.75
DAIHATSU,MIRA,2015,650.0,1,Petrol,110000.0,1.0,52.5
DAIHATSU,MIRA,2004,660.0,1,Petrol,231000.0,1.0,40.6875
DAIHATSU,MIRA,2015,650.0,1,Petrol,110000.0,1.0,49.9
DAIHATSU,MIRA,2017,650.0,1,Petrol,88000.0,1.0,57.75
DAIHATSU,MIRA,1994,800.0,0,Petrol,341000.0,1.0,40.6875
DAIHATSU,MIRA,1987,800.0,0,Petrol,418000.0,1.0,40.6875
DAIHATSU,MIRA,2016,650.0,1,Petrol,99000.0,1.0,52.0
DAIHATSU,MIRA,2015,660.0,1,Petrol,110000.0,1.0,53.5
DAIHATSU,MIRA,2016,650.0,1,Petrol,99000.0,1.0,61.0
DAIHATSU,MIRA,2015,650.0,1,Petrol,110000.0,1.0,53.5
DAIHATSU,MIRA,2016,650.0,1,Petrol,99000.0,1.0,52.0
DAIHATSU,MIRA,2017,660.0,1,Petrol,88000.0,1.0,64.0
DAIHATSU,MIRA,2016,650.0,1,Petrol,99000.0,1.0,54.75
DAIHATSU,MIRA,2016,650.0,1,Petrol,99000.0,1.0,53.5
DAIHATSU,MIRA,2015,650.0,1,Petrol,110000.0,1.0,57.0
DAIHATSU,Other,2016,660.0,1,Petrol,99000.0,1.0,52.0
DAIHATSU,Other,2018,650.0,1,Petrol,77000.0,1.0,63.4
DAIHATSU,Other,2016,680.0,1,Petrol,99000.0,1.0,52.0
DAIHATSU,Other,2018,660.0,1,Petrol,77000.0,1.0,58.0
DAIHATSU,Other,2001,650.0,1,Petrol,264000.0,1.0,41.0
DAIHATSU,Other,2003,650.0,1,Petrol,242000.0,1.0,35.6
DAIHATSU,Other,2016,650.0,1,Petrol,99000.0,1.0,54.0
DAIHATSU,Other,2016,650.0,1,Petrol,99000.0,1.0,54.675
DAIHATSU,Other,2016,660.0,1,Petrol,99000.0,1.0,55.35
DAIHATSU,Other,2016,660.0,1,Petrol,99000.0,1.0,62.2
DAIHATSU,Other,2015,650.0,1,Petrol,110000.0,1.0,59.9
DAIHATSU,Other,2016,650.0,1,Petrol,99000.0,1.0,65.9
DAIHATSU,Other,2017,660.0,1,Petrol,88000.0,1.0,66.5
DAIHATSU,Other,2011,650.0,1,Petrol,154000.0,1.0,46.0
DAIHATSU,Other,2016,650.0,1,Petrol,99000.0,1.0,58.5
DAIHATSU,Other,2006,660.0,1,Petrol,209000.0,1.0,39.36249999999998
DAIHATSU,Other,2015,660.0,1,Petrol,110000.0,1.0,68.0
DAIHATSU,Other,2017,680.0,1,Petrol,88000.0,1.0,69.5
DAIHATSU,Other,1987,1000.0,0,Diesel,418000.0,1.0,6.1
DAIHATSU,Other,2019,990.0,1,Petrol,66000.0,1.0,81.0
DAIHATSU,Other,2017,650.0,1,Petrol,88000.0,1.0,73.0
DAIHATSU,Other,2003,1300.0,0,Petrol,242000.0,1.0,34.0
DATSUN,Other,1972,1200.0,0,Petrol,583000.0,1.0,5.75
DATSUN,Other,1979,1170.0,0,Petrol,506000.0,1.0,5.9
DATSUN,Other,1980,1200.0,0,Petrol,495000.0,1.0,9.5
DATSUN,Other,2017,800.0,0,Petrol,88000.0,1.0,4.65
DATSUN,Other,2017,1171.0,0,Petrol,88000.0,1.0,4.65
DATSUN,REDI-GO,2016,800.0,0,Petrol,99000.0,1.0,27.75
DATSUN,REDI-GO,2017,800.0,0,Petrol,88000.0,1.0,28.95
DATSUN,REDI-GO,2017,800.0,0,Petrol,88000.0,1.0,29.491666666666664
DATSUN,REDI-GO,2016,800.0,0,Petrol,99000.0,1.0,28.5
DATSUN,REDI-GO,2017,1000.0,0,Petrol,88000.0,1.0,29.0
DATSUN,REDI-GO,2017,800.0,0,Petrol,88000.0,1.0,27.5
DATSUN,REDI-GO,2016,799.0,0,Petrol,99000.0,1.0,30.25
DATSUN,REDI-GO,2016,800.0,0,Petrol,99000.0,1.0,26.0
DATSUN,REDI-GO,2016,800.0,0,Petrol,99000.0,1.0,25.791666666666664
DATSUN,REDI-GO,2017,800.0,0,Petrol,88000.0,1.0,31.5
DATSUN,REDI-GO,2016,813.0,0,Petrol,99000.0,1.0,25.791666666666664
DATSUN,REDI-GO,2017,800.0,0,Petrol,88000.0,1.0,31.5
DATSUN,REDI-GO,2017,800.0,0,Petrol,88000.0,1.0,28.5
DATSUN,REDI-GO,2016,800.0,0,Petrol,99000.0,1.0,29.25
DATSUN,REDI-GO,2017,800.0,0,Petrol,88000.0,1.0,29.491666666666664
FIAT,Other,1979,900.0,0,Petrol,506000.0,1.0,11.3
FIAT,Other,1980,900.0,0,Petrol,495000.0,1.0,8.0
FIAT,Other,1977,1100.0,0,Petrol,528000.0,1.0,12.8
FIAT,Other,2004,2000.0,0,Diesel,231000.0,1.0,35.0
FIAT,Other,2007,1400.0,1,Petrol,198000.0,1.0,35.0
FIAT,Other,2007,1400.0,1,Petrol,198000.0,1.0,28.5
FIAT,Other,2011,1400.0,0,Petrol,154000.0,1.0,39.5
FIAT,Other,2011,1300.0,0,Diesel,154000.0,1.0,34.9
FIAT,Other,2016,1366.0,0,Petrol,99000.0,1.0,32.0
FIAT,Other,2012,1400.0,0,Diesel,143000.0,1.0,37.5
FIAT,Other,2011,1300.0,0,Diesel,154000.0,1.0,34.9
FIAT,Other,2008,1400.0,1,Petrol,187000.0,1.0,31.75
FIAT,Other,2001,1200.0,0,Petrol,264000.0,1.0,12.25
FIAT,Other,2001,1240.0,0,Petrol,264000.0,1.0,12.25
